season	comp
1970	2.11
1971	3.36
1972	3.20
1973	3.63
1974	4.41
1975	3.42
1976	3.79
1977	3.76
1978	3.58
1979	2.76
1980	2.80
1981	2.87
1982	2.52
1983	2.44
1984	3.21
1985	2.29
1986	3.33
1987	2.95
1988	2.41
1989	2.32
1990	3.26
1991	2.78
1992	2.37
1993	2.95
1994	2.76
1995	2.80
1996	2.69
1997	2.92
1998	2.72
1999	3.75
2000	3.04
2001	3.57
2002	2.98
2003	3.04
2004	2.65
2005	2.59
2006	2.82
2007	2.67
2008	2.62
2009	2.04
2010	2.27
2011	2.27
2012	2.14
2013	2.08
2014	1.83
2015	2.10
2016	1.84